name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
2 minute scallops,66469.0,4.0,87023.0,2003-07-09,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'south-west-pacific', '5-ingredients-or-less', 'appetizers', 'seafood', 'australian', 'easy', 'dinner-party', 'dietary', 'low-saturated-fat', 'low-calorie', 'low-carb', 'scallops', 'low-in-something', 'shellfish']","[104.3, 5.0, 12.0, 14.0, 21.0, 2.0, 2.0]",4.0,"['heat oil in saut pan , medium high heat', 'sear scallops about 15 seconds either side , remove from pan and keep warm', 'add wine and deglaze the pan for about 10 seconds then add marmalade and swirl around until sauce begins to boil', 'pour over scallops , garnish with a sprinkle of fresh herbs like , tarragon , chives or coriander']",a very fast tasty scallop recipe,"scallops, white wine, olive oil, marmalade",4.0,104.3,5.0,12.0,14.0,21.0,2.0,2.0
2 point banana muffins,395471.0,25.0,648540.0,2009-10-19,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', 'breads', 'muffins', 'quick-breads', 'number-of-servings']","[112.2, 5.0, 15.0, 4.0, 4.0, 10.0, 5.0]",14.0,"['preheat oven to 350f', 'place splenda and butter in a large bowl', 'cream with an electric mixer until light and fluffy', 'add egg and vanilla', 'beat until thoroughly mixed', 'in another large bowl , mix together flour , baking powder and baking soda', 'add half of flour mixture to butter mixture', 'beat well with mixer', 'add milk and remaining flour mixture', 'beat until batter is combined and then fold in mashed bananas', 'spoon batter into muffin liners about 3 / 4 full', 'bake until muffins start to brown and a tester inserted in center of a muffin comes out clean , about 20 to 30 minutes', 'allow muffins to cool in pan for about 2 minutes', 'remove']","adapted from ""banana muffins with tart lemon icing"" makes 18 full size muffins","splenda granular, unsalted butter, egg, vanilla extract, all-purpose flour, baking powder, baking soda, skim milk, bananas",9.0,112.2,5.0,15.0,4.0,4.0,10.0,5.0
2 points plus   broccoli rabe with garlic and parmesan,458255.0,30.0,120566.0,2011-06-07,"['weeknight', '30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'side-dishes', 'vegetables', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'healthy-2', 'free-of-something', 'low-in-something', 'greens']","[82.7, 7.0, 2.0, 18.0, 14.0, 7.0, 1.0]",9.0,"['bring a large pot of water to a boil over medium-high heat', 'add the broccoli rabe and cook until the thickest stems are tender', 'about 3 minute drain and set aside', 'heat the oil in large nonstick skillet over medium heat', 'add garlic and cook , stirring , until fragrant , about 1 minute', 'add the broccoli rabe and sprinkle with the salt and crushed red pepper', 'cook , stirring , until coated with the oil and heated through , about 2 minute', 'spoon into a serving bowl and sprinkle with parmesan', '2 points plus for 1 cup serving']","from ww all time favorites.
per serving (1 cup): 162 cal, 4g fat, 7g carb, 3g fiber, 6g protein","broccoli rabe, olive oil, garlic cloves, salt, crushed red pepper flakes, parmesan cheese",6.0,82.7,7.0,2.0,18.0,14.0,7.0,1.0
2 pot stove top unstuffed cabbage rolls,143234.0,35.0,7108.0,2005-10-31,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'healthy', 'main-dish', 'beef', 'easy', 'low-fat', 'stove-top', 'dietary', 'low-cholesterol', 'inexpensive', 'healthy-2', 'ground-beef', 'low-in-something', 'meat', 'equipment']","[622.3, 19.0, 45.0, 33.0, 64.0, 25.0, 31.0]",10.0,"['in one pot , cook rice', 'you will want to end up with 2 cups of cooked rice', 'in the second pot , a medium dutch oven , brown ground beef , onion and garlic', 'drain if needed and return to pot', 'add your soup and sauce , 1 / 2 cup water , cabbage , salt and pepper to taste', 'stir well', 'cook over medium heat , covered , for 15-20 minutes or until cabbage is soft', 'stir occasionally and add remainder 1 / 4 cup of water while cooking , if sauce gets too thick', 'divide rice onto 4 plates', 'top with the beefy tomato cabbage mix']","i love stuffed cabbage rolls but don't have the time or patience to stuff them.  i usually make a casserole version in the oven but after fooling around with a few recipes i had on hand, i found this way much quicker and just as tasty.  makes a great busy weeknight dinner.  i like to serve this with some warm bread or dinner rolls.  i also like to make the rice with a recipe posted by jan s, #53546 perfect rice every time we cook it!","lean ground beef, cabbage, onion, garlic clove, condensed tomato soup, tomato sauce, water, salt and pepper, long grain rice",9.0,622.3,19.0,45.0,33.0,64.0,25.0,31.0
2 sauces for basting or dipping,19281.0,20.0,27643.0,2002-02-09,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'sauces', 'appetizers', 'condiments-etc', 'fruit', 'easy', 'kid-friendly', 'dips', 'dietary', 'inexpensive', 'sweet-sauces', 'tropical-fruit', 'pineapple', 'number-of-servings']","[661.5, 1.0, 634.0, 17.0, 8.0, 0.0, 57.0]",12.0,"['for pineapple sauce--------------', 'pour undrained pineapple into bowl', 'add peaches and sugar', 'mix well', 'add spices and stir until blended', 'for orange sauce--------------', 'in small saucepan , combine ingredients', 'heat on med to boiling', 'reduce heat to low', 'cook 10 minutes or until thickened , stirring often', 'can be used to baste chicken , pork , or fish', 'or are excellent as dipping sauces for nuggets , strips , etc']","we really like these for basting chicken, or dipping chicken strips.","crushed pineapple, peach, sugar, cinnamon, ginger, v8 vegetable juice, orange marmalade, dijon mustard",8.0,661.5,1.0,634.0,17.0,8.0,0.0,57.0
2 texans craving salsa far from home,249457.0,20.0,257941.0,2007-08-28,"['30-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'occasion', 'north-american', 'low-protein', 'healthy', 'sauces', 'condiments-etc', 'american', 'mexican', 'southwestern-united-states', 'tex-mex', 'easy', 'beginner-cook', 'low-fat', 'salsas', 'dietary', 'spicy', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'low-carb', 'garnishes', 'healthy-2', 'low-in-something', 'taste-mood']","[186.9, 2.0, 93.0, 145.0, 15.0, 1.0, 14.0]",11.0,"['in a blender , combine cilantro , tomatoes , jalapenos , juice of 1 / 2 a lime', 'blend', 'add spices and salt', 'the salsa will have a small bite from just the jalapenos , i like to taste it now and then add in minced seeds for heat -- remember to add in small amounts , jalapenos add the kind of heat that sneaks up on you', 'not to mention one night in the fridge with all those flavors mingling could up the heat substantially', ""sometimes i use cayenne pepper to build heat bc it dosen't seem to have as strong of staying power on your tounge"", ""then again i'm sure others would disagree and have their own methods for building heat"", 'last add the onions and once this is done put the blender away , otherwise you end up with spicy vegetable pulp , the onions will give it texture', 'sometimes i leave out the cilantro until i add the onions to give the sauce even more texture', ""of course you'll want to chop the leaves a little"", 'enjoy !']",did we nail it? or did we nail it!,"onion, fresh cilantro, whole canned tomatoes, chili powder, garlic powder, salt, lime, jalapenos, cayenne pepper",9.0,186.9,2.0,93.0,145.0,15.0,1.0,14.0
2 tomato pasta salad,20930.0,30.0,29196.0,2002-02-28,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'south-west-pacific', 'salads', 'pasta', 'australian', 'summer', 'stove-top', 'dietary', 'seasonal', 'pasta-rice-and-grains', 'equipment']","[549.0, 40.0, 41.0, 20.0, 38.0, 34.0, 20.0]",8.0,"['cook the pasta in boiling water until tender', 'drain well , then run under cold water to cool', 'drain well', 'cut the bacon , peppers and sun dried tomatoes into thin strips', 'heat the first tablespoon of oil in a pan and cook this mixture until the peppers are soft', 'cool', 'combine the pasta , pepper mixture , cheese , nuts , herbs and fresh tomatoes in a bowl', 'add the dressing and mix well']",this is a salad that i'm often asked to bring to parties.,"pasta, bacon, red peppers, sun-dried tomatoes, olive oil, mozzarella cheese, pine nuts, fresh oregano, chives, cherry tomatoes, white vinegar, sugar, balsamic vinegar, garlic, french mustard",15.0,549.0,40.0,41.0,20.0,38.0,34.0,20.0
2 vegetarian dips  served w crudites   baguette bread,246457.0,10.0,296809.0,2007-08-14,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', 'appetizers', 'condiments-etc', 'vegetables', 'easy', 'no-cook', 'beginner-cook', 'dinner-party', 'finger-food', 'vegetarian', 'dips', 'dietary', 'carrots', 'tomatoes', 'taste-mood', 'number-of-servings', 'presentation', 'technique']","[78.4, 10.0, 5.0, 4.0, 4.0, 4.0, 1.0]",6.0,"['for tomato caper tapenade: process all ingredients till finely minced', 'top w / a few extra capers as desired', 'for tofu pate: process half the seeds till finely ground', 'add tofu , oil + wheatgerm & process till combined', 'stir in remaining seeds , carrot + dill', 'serve w / carrot & celery sticks , snow peas & thin slices of baguette bread']","on our 2nd wedding anniversary 2 yrs ago, dh took me to a restaurant 1 hr outside of reykjavik that specialized in lobster & a lovely view of the sunset over the atlantic ocean. we ate just 2 things - their lobster bisque & a pan filled w/sml lobster tails steamed in herbed garlic butter. but they served both w/assorted pesto & tapenade spreads to spread on baguette slices that were tdf wonderful. since then i have been fascinated w/that genre & then i found these recipes in the *almost vegetarian* cookbook of the australian womens weekly cookbook series. since i now have lobster in my freezer, i wanted to preserve these recipes for spec occasions here at home. *enjoy* !","sun-dried tomato, olive oil, capers, garlic cloves, lemon rind, lemon juice, fresh thyme, sunflower seeds, tofu, wheat germ, carrot, fresh dill",12.0,78.4,10.0,5.0,4.0,4.0,4.0,1.0
2 x 2 cottage cheese smoothie,214264.0,5.0,324993.0,2007-02-27,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', 'healthy', 'beverages', 'easy', 'low-fat', 'smoothies', 'dietary', 'low-sodium', 'low-cholesterol', 'shakes', 'low-saturated-fat', 'low-calorie', 'low-carb', 'low-in-something', 'number-of-servings', '3-steps-or-less']","[335.2, 6.0, 91.0, 17.0, 41.0, 12.0, 17.0]",2.0,"['blend together', 'drink !']","yet another smoothie/milkshake experiment gone well. yea, i love cottage cheese, you can tell.","banana, peach, skim milk, cottage cheese, vanilla extract, almond extract, splenda sugar substitute",7.0,335.2,6.0,91.0,17.0,41.0,12.0,17.0
2 5 challenge friendly real pasta sauce,148362.0,45.0,121789.0,2005-12-15,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'main-dish', 'pasta', 'vegetables', 'easy', 'european', 'vegan', 'vegetarian', 'stove-top', 'dietary', 'pasta-rice-and-grains', 'tomatoes', 'equipment']","[100.8, 1.0, 34.0, 5.0, 9.0, 1.0, 7.0]",7.0,"['chop onion , pepper , courgette and mushrooms and fry over a medium heat in a saucepan until the pepper is soft', 'add the tomato , sweetcorn , herbs and paprika to the saucepan and let simmer for 10 minutes , stirring occasionally', 'check the taste and add salt , pepper and / or more paprika if necessary', 'leave to simmer for another 15-20 mins - this is the perfect point to start cooking the pasta !', 'add garlic about 10 mins before serving - if it gets cooked for any longer it will lose its taste', 'serve with pasta', 'cheese melted over the top is nice if you eat cheese']","this is a slightly reworked version of my real pasta sauce recipe #84451 to allow it to fit in with the 2 fruit and 5 veg challenge going on in the vegetarian/vegan forum (dec 05/jan06)  as far as i'm aware, my fruits are the tomatoes and pepper and my veg are the onion, mushrooms, courgette, garlic and the very recent addition of sweetcorn :o)","chopped tomatoes, onion, pepper, mushrooms, courgette, sweetcorn, garlic clove, dried herbs, paprika, salt and pepper, olive oil",11.0,100.8,1.0,34.0,5.0,9.0,1.0,7.0
2  handed kitchen sink tomato sandwich,77497.0,15.0,112365.0,2003-11-28,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'for-1-or-2', 'low-protein', 'healthy', '5-ingredients-or-less', 'lunch', 'vegetables', 'easy', 'low-fat', 'dietary', 'low-sodium', 'low-cholesterol', 'sandwiches', 'low-saturated-fat', 'low-calorie', 'healthy-2', 'low-in-something', 'tomatoes', 'number-of-servings']","[165.8, 3.0, 27.0, 11.0, 10.0, 2.0, 10.0]",7.0,"['in the peak of tomato season , chill 1 very large or 2 medium size tomatoes that have been vine-ripened and have plenty juice', 'take 2- slices of bread and coat them with 1 / 4 inch good mayonnaise', 'add layer of tomatoes cut 1 / 4 inch thick', 'salt & pepper to taste', 'add another slice of tomatoes and salt and pepper to taste again', 'add the other piece of bread on top of this', 'roll up your sleeves and start eating over the kitchen sink while the juice runs down your elbows']","i got this recipe from an old georgia boy that was transplanted in tennessee, he is 72 and says he grew up on this sandwich.","tomatoes, bread, salt and pepper, mayonnaise",4.0,165.8,3.0,27.0,11.0,10.0,2.0,10.0
2  ingredient purple cow,122497.0,5.0,208984.0,2005-05-16,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', 'low-protein', '5-ingredients-or-less', 'beverages', 'easy', 'kid-friendly', 'dietary', 'low-sodium', 'inexpensive', 'low-in-something', 'number-of-servings', '3-steps-or-less']","[364.3, 24.0, 196.0, 4.0, 11.0, 48.0, 17.0]",2.0,"['put ingredients into a blender and blend until completely smooth', 'serve in plastic cups with swivel straw , if available']",this is a drink i make for my 2 year old very often. you can prepare it as a milk shake or as a sweet drink.,"grape juice, vanilla ice cream",2.0,364.3,24.0,196.0,4.0,11.0,48.0,17.0
2  step pasta sensation,85118.0,25.0,124631.0,2004-02-26,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', '5-ingredients-or-less', 'salads', 'pasta', 'easy', 'stove-top', 'dietary', 'inexpensive', 'pasta-rice-and-grains', 'equipment', 'number-of-servings', '3-steps-or-less']","[295.9, 17.0, 2.0, 13.0, 17.0, 16.0, 13.0]",2.0,"['toss hot pasta with cheese and dressing', ""that's it that's all !""]",quick and easy.,"cooked pasta, parmesan cheese, ranch dressing",3.0,295.9,17.0,2.0,13.0,17.0,16.0,13.0
2 2 2 diet mocha,416599.0,5.0,789314.0,2010-03-15,"['weeknight', '15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-1-or-2', 'healthy', 'beverages', 'breakfast', 'microwave', 'low-fat', 'chocolate', 'dietary', 'gluten-free', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'high-calcium', 'comfort-food', 'inexpensive', 'egg-free', 'free-of-something', 'high-in-something', 'low-in-something', 'taste-mood', 'sweet', 'equipment', 'number-of-servings']","[33.3, 0.0, 10.0, 7.0, 5.0, 1.0, 1.0]",5.0,"['stir dry ingredients together', 'add hot water and stir', 'add sweetener , vanilla , and salt', 'serve', 'enjoy !']","while trying to come up with a satisfying ""snack"" or dessert that fit the requirements of my low carb, low calorie, low fat diet (ugh, but i'm only on it for 3 weeks as a jumpstart), i invented this. (i've experimented often with do-it-yourself coffee mixes, and i think this is better than most.)  i'm mostly putting this here to calculate the nutritional information.

for cocoa, use the best you can find.  currently i'm using ghirardelli unsweetened cocoa, from a 10 oz. can, sold in the baking section of publix.  my current sweetener is sucaryl tablets (from canada), and i use 2 tablets (easy to remember--that's why i tried these proportions).

[edit after publishing: when i found out the total carb count and realized it was too high due to the milk powder, i decided to wait until i go back to low-carbing and then use cream which has zero carbs.  however, this is still quite low in calories, so many dieters should find it useful.]","instant coffee, unsweetened cocoa powder, nonfat dry milk powder, artificial sweetener, vanilla extract, salt, hot water",7.0,33.3,0.0,10.0,7.0,5.0,1.0,1.0
2 4 6 8 ranch dip,193899.0,20.0,177933.0,2006-11-04,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', '5-ingredients-or-less', 'appetizers', 'vegetables', 'easy', 'beginner-cook', 'dinner-party', 'summer', 'dips', 'dietary', 'seasonal', 'low-calorie', 'low-carb', 'low-in-something', 'onions', 'peppers', 'tomatoes']","[140.9, 13.0, 15.0, 10.0, 19.0, 25.0, 2.0]",4.0,"['toss all of the veggies and the cheese together in a medium bowl', 'start with about a 1 / 4 cup of ranch dressing and stir', 'continue to add ranch until it is all well covered', 'serve with your favorite cracker']","2 green peppers, 4 tomatoes, 6 green onions and 8 oz. of mozzarella all covered in ranch and served on a cracker - yum!  my dear friend annette introduced this to us.  it's an easy appetizer that tastes great.  i have not made it myself yet so, i am unsure how much ranch to use.  just add a little at a time until it reaches a good consistency.  once i make it i will add an exact amount, it should be easy to figure out. we love it.","green peppers, tomatoes, green onions, mozzarella cheese, ranch dressing",5.0,140.9,13.0,15.0,10.0,19.0,25.0,2.0
2 alarm chili,39280.0,65.0,37036.0,2002-09-03,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'main-dish', 'beef', 'american', 'southwestern-united-states', 'easy', 'chili', 'stove-top', 'dietary', 'spicy', 'copycat', 'low-sodium', 'low-carb', 'inexpensive', 'ground-beef', 'low-in-something', 'meat', 'novelty', 'taste-mood', 'equipment', '4-hours-or-less']","[389.7, 38.0, 11.0, 17.0, 61.0, 46.0, 4.0]",7.0,"['brown beef in a dutch oven', 'drain', 'add tomato sauce , 2 cups water , paprika , cumin , onion flakes , garlic salt , chili powder , and ground red pepper', 'cover and simmer for 30 minutes , stirring occasionally', 'dissolve 2 tablespoons masa into 1 / 4 cup hot water to make a thick , but flowable mixture', 'add masa mixture to chili', 'cover and simmer another 15-20 minutes']","my family likes the chili made from the packet of 2-alarm chili, so one day i decided to measure out all the ingredients. it's much cheaper to measure out your own ingredients!","ground beef, tomato sauce, water, paprika, cumin, dried onion flakes, garlic salt, chili powder, ground red pepper, masa harina flour, hot water",11.0,389.7,38.0,11.0,17.0,61.0,46.0,4.0
2 cheese mushroom toast,203378.0,20.0,186802.0,2007-01-04,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-1-or-2', 'lunch', 'side-dishes', 'eggs-dairy', 'vegetables', 'easy', 'beginner-cook', 'vegetarian', 'cheese', 'dietary', 'inexpensive', 'mushrooms', 'brunch', 'taste-mood', 'savory', 'number-of-servings']","[331.4, 38.0, 4.0, 22.0, 27.0, 58.0, 4.0]",13.0,"['preheat oven to 400f', 'directions for sauteed mushrooms:', 'saute the mushrooms and salt / pepper in the olive oil until the mushrooms are slightly brown', 'directions for toast:', 'line a sheet pan with foil and spray with nonstick cooking spray', 'each split roll gets half of the butter and garlic amount', 'spread each amount of butter over face of roll , then the garlic', 'divide the mozz', 'cheese in equal parts and spread out over bread', 'spread sauteed mushrooms over mozz', 'cheese', 'lay / spread american or cheddar cheese over mushrooms', 'put on sheet pan and bake for 10 minutes']","i love french rolls and love coming up with new ways to enjoy them.  this would make a great snack, lunch or even a dinner with a side salad.  i had just included 1/2 cup sauteed mushrooms, because i thought people could use their sauteed mushroom recipe of choice that added  up to that amount.  i've included what i used... not really a recipe.. just really basic, but delicious.","olive oil, sliced mushrooms, salt and pepper, french roll, butter, garlic clove, mozzarella cheese, mushroom, american cheese",9.0,331.4,38.0,4.0,22.0,27.0,58.0,4.0
2 hour turkey  really,490284.0,145.0,695933.0,2012-11-14,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-1-or-2', '5-ingredients-or-less', 'very-low-carbs', 'main-dish', 'poultry', 'american', 'canadian', 'easy', 'beginner-cook', 'fall', 'winter', 'turkey', 'dietary', 'one-dish-meal', 'low-sodium', 'native-american', 'seasonal', 'high-protein', 'low-carb', 'inexpensive', 'wild-game', 'high-in-something', 'low-in-something', 'meat', 'whole-turkey', 'pheasant', 'number-of-servings', '4-hours-or-less', 'from-scratch']","[5550.7, 451.0, 0.0, 186.0, 1355.0, 393.0, 0.0]",34.0,"['since this employs the use of a very hot oven , make sure your oven is clean before you start to reduce the risk of smoking your family out of the house', 'place oven rack on lowest position in oven', 'preheat oven to 475f', 'remove all giblets , neck , pop-up thermometer and any trussing', 'rinse turkey thoroughly , inside and out with cool water , letting all water drain out of neck and body cavities', 'pat dry , inside and out , with paper toweling', ""place on v or u-shaped wire rack in roasting pan , so that turkey doesn't rest on bottom of pan"", ""first time i made this i didn't have a rack , so i just slapped it in my grandmother's old-fashioned blue-enamel roaster pan and it turned out fine"", 'rub entire outside of dried-off turkey with olive oil', 'sprinkle generously with salt and pepper', 'i use kosher salt because it has large , coarse grains', 'pull wing', 'using aluminum foil , form caps over the end of each drumstick', 'if any parts of the turkey extend beyond pan rim , make a foil ""collar"" underneath to make sure drippings flow back into pan', 'do not tie legs together , do not add stuffing , do not close body cavity', ""that's a no"", 'no', 'no', 'half-way through cooking time , turn roaster / turkey around to ensure even cooking', 'if any part of the turkey becomes too brown during cooking , cover it loosely with foil tent', 'cooking timing chart below: 10-13 lbs', '= 50 minutes to 1 1 / 4 hours 13-16 lbs', '= 1 1 / 4 hrs to 1 hour 50 minutes', '16-19 lbs', '= 1 1 / 4 hrs to 2 hours 19-22 lbs', '= 1 1 / 2 hrs to 2 hours 22-24 lbs', '= 1 1 / 2 hrs to 2 1 / 2 hours 25+ lbs', ""= are you sure it's not an ostrich you're roasting ? if not , call guinness book of records"", ""it's done when internal temp is 160 degrees"", 'when done , remove from oven', 'cover completely with foil , and let rest 30-45 minutes before carving', 'the internal temp will continue to rise to the recommended 165f', 'after resting , transfer to platter for carving', 'save the juices to make gravy or moisten dressing !']","i ran across this recipe a few years back from my local grocery store. i was very skeptical that one could actually cook an entire turkey (regardless of size) in about 2 hours and have it be edible. well, not only does this actually work, it produces the best roasted turkey i've had to date. no more getting up at 4 a.m. to start the holiday turkey, amazing- now i've heard everything. no more basting. it's so incredibly fast and easy. it has become the only way i roast turkeys. turkey...it's not just for holidays, anymore. the biggest turkey i made this way was 22.5 pounds. it took about 2 hours 15 minutes to cook. wow. gobble gobble!!","whole turkey, extra virgin olive oil, salt, fresh ground pepper",4.0,5550.7,451.0,0.0,186.0,1355.0,393.0,0.0
2 ingredient punch  mock champagne punch,289160.0,5.0,776591.0,2008-02-28,"['lactose', '15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-large-groups', 'low-protein', 'healthy', 'beverages', 'fruit', 'american', 'easy', 'beginner-cook', 'holiday-event', 'low-fat', 'cocktails', 'punch', 'dietary', 'low-sodium', 'gluten-free', 'low-cholesterol', 'low-saturated-fat', 'wedding', 'inexpensive', 'egg-free', 'healthy-2', 'free-of-something', 'low-in-something', 'berries', 'grapes', 'brunch', 'number-of-servings', '3-steps-or-less']","[284.3, 0.0, 280.0, 0.0, 1.0, 0.0, 23.0]",9.0,"['place white grape juice and ginger-ale in refrigerator overnight or until well chilled', ""placing them in the freezer for a couple of hours before serving will make them 'icy' and everyones favorite"", 'in a serving picture or punch bowl , pour equal parts white grape juice and ginger-ale', 'stir gently', 'fill each glass , and if you want garnish with frozen fruit', 'optional garnish: on a lined cookie sheet , place the fruit in a single layer but not touching , into the freezer for several hours until frozen', ""after they are completely frozen , they can be bagged together as long as they stay in the freezer so they don't stick together"", 'then use one of each fruit to garnish each glass', ""it is beautiful and also keeps it colder longer and doesn't water down the flavor""]","i've been making this punch for years.  i wish i had a dollar for every time someone asks for the receipe and then thinks that i'm truly keeping it a secret because they cant believe it only has 2 ingredients.  it is the easiest, most light and refreshing compliment to any shower, tea or party gathering.  it's beautiful looking too and matches any theme or color.  you can make it for a few people up to 100's and still, it is a money friendly punch because it has only 2 ingredients.  but don't let the 'only 2' ingredients fool you.  it's delicious!  (some people say it reminds them of champagne.)  kid friendly, teen friendly, adult friendly.   enjoy!","white grape juice, ginger ale, raspberries, blackberry, strawberry, blueberries",6.0,284.3,0.0,280.0,0.0,1.0,0.0,23.0
2 minute eggless microwave chocolate cake,513216.0,4.0,1802469689.0,2014-02-10,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', 'desserts', 'snacks', 'easy', 'cakes', 'dietary', 'low-sodium', 'low-in-something', 'number-of-servings', '3-steps-or-less']","[659.0, 69.0, 155.0, 9.0, 14.0, 38.0, 22.0]",4.0,"['mix all dry ingredients in a microwave safe mug with a fork , add all wet ingredients and mix thoroughly until its a smooth and running liquid', 'place mug in microwave and set on full power for 2 minutes after the timer has gone off , let cake sit in microwave for 30 seconds', 'serve plain , dusted with sugar , with vanilla ice cream or whipped cream -- whatever catches your fancy', 'happy microwaving !']","this is fast,simple and less than messy but best of all .....you get your chocolate fix in less than 5 mins!!!!!!!!!","all-purpose flour, unsweetened cocoa powder, vegetable oil, milk, granulated sugar, light brown sugar, baking powder, salt",8.0,659.0,69.0,155.0,9.0,14.0,38.0,22.0
2 minute microwave lime cheesecake,388669.0,7.0,31807.0,2009-09-03,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', 'desserts', 'easy', 'cheesecake', 'number-of-servings', '3-steps-or-less']","[822.7, 93.0, 200.0, 27.0, 23.0, 169.0, 20.0]",11.0,"['combine crumbs with butter and 1 tbsp sugar', 'stir until sandy in texture', 'divide between two pint-sized mason jars or large coffee mugs', 'pack crumbs down into bottoms', 'stir remaining ingredients together until smooth', 'divide between vessels', 'place in microwave for 2 minutes on high', 'continue to cook for 30-second intervals until the tops appear dry', 'transfer to refrigerator for at least 1 hour before serving', 'the top will develop a dimple as it cools', 'top with a dollop of whipped cream to cover it up']","surprisingly, this works. perfect when you need just a little something for one or two. adapted from a recipe posted at the kitch'n. http://bit.ly/osfma","graham cracker crumbs, butter, sugar, cream cheese, lime, zest of, fresh lime juice, egg, potato starch",8.0,822.7,93.0,200.0,27.0,23.0,169.0,20.0
2 minute noodle corn pancakes,320442.0,8.0,197023.0,2008-08-19,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'south-west-pacific', 'for-large-groups', 'pancakes-and-waffles', 'breakfast', 'lunch', 'snacks', 'eggs-dairy', 'pasta', 'vegetables', 'australian', 'easy', 'beginner-cook', 'kid-friendly', 'vegetarian', 'eggs', 'stove-top', 'dietary', 'toddler-friendly', 'pasta-rice-and-grains', 'corn', 'brunch', 'equipment', 'number-of-servings', '3-steps-or-less']","[40.5, 1.0, 0.0, 0.0, 3.0, 1.0, 2.0]",3.0,"['lightly break the noodles into a bowl , pour over boiling water to cover and allow to stand for 5 minutes , drain noodles into a colander and return to the bowl', 'stir in the beaten eggs , flour , corn kernels , chives , parsley , flavour sachet and milk', 'heat a non stick pan , brush with oil , and drop spoonfuls of the mixture into the pan and cook until golden , turn over and cook until set']","most kids love 2-minute noodles and corn fritters so in this recipe, adapted from a recipe on the simply great recipes website, the two have been combined to make yummy kid-friendly pancakes. if you want to sneak in some different vegetables, you could probably get away with this the second or third time you make these!  for an adult version, perhaps add bacon, garlic, and serve with sour cream and lemon wedges.","maggi 2-minute noodles, eggs, plain flour, baking powder, corn kernels, chives, fresh parsley, milk, oil",9.0,40.5,1.0,0.0,0.0,3.0,1.0,2.0
2 minute noodles for two with ham   cheese,182904.0,20.0,222478.0,2006-08-24,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-1-or-2', 'healthy', '5-ingredients-or-less', 'lunch', 'main-dish', 'snacks', 'easy', 'dietary', 'one-dish-meal', 'inexpensive', 'brunch', 'number-of-servings', '3-steps-or-less']","[734.8, 32.0, 12.0, 34.0, 82.0, 37.0, 30.0]",3.0,"['hard boil eggs and let sit in cold water for 5 minutes before peeling and cutting into 6-8 slices', 'cook noodles for 2 minutes in boiling water then drain liquid and add in flavour satchets from 2 of the packets', 'gently mix cheese , ham and sliced egg into the noodles and serve immediately']","a quick tasty way i serve 2-minute noodles. this makes a generous serve for two, it would be enough for a family of four as a light meal / snack.","noodles, eggs, ham, cheese",4.0,734.8,32.0,12.0,34.0,82.0,37.0,30.0
