itemId,name,text,reviewContent,sentiment_label,confidence,rating,relevanceScore,boughtDate,clientType,retrievedDate
100004505,Fitriyansah E.,lima bintang,barang sudah sampai dan bagus thanks lazada,positive,0.9884029030799866,5.0,13.3,,mobile-app,2019-10-02
100004505,Lazada Guest,bagusss,pengiriman cepat sipplahhh,positive,0.977605402469635,5.0,12.73,,mobile,2019-10-02
100005037,Lazada Customer,,sampe sekarang masih ok ne laptop,negative,0.5526828765869141,5.0,24.51,02 Jan 2017,androidApp,2019-10-02
100006860,Lazada Guest,good,pengiriman cepat  packaging good  barang oke thnks seller thnks lazada,positive,0.9941005110740662,5.0,9.98,,mobile,2019-10-02
100007498,Amarullah,good job,barang diterima dengan selamat produk sesuai dengan deskripsi barang nyape 3 hari ke pekanbaruriau terimakasih lazada dan kotakom pucang laptopnya mantap,positive,0.9903554916381836,5.0,26.98,11 Nov 2016,mobile,2019-10-02
100010722,Dwi,top,senang belanja disinipelayanan okebarang sesuai ekspektasiorder senin hari selasa malam udah nyampe  di settingin sxan sama kurirnyapokoknya top dehthanks lazada,positive,0.9984978437423706,5.0,30.51,13 Nov 2017,androidApp,2019-10-02
100010722,Rosalina S.,,belum test barangnya,negative,0.9831364750862122,4.0,22.49,23 Agu 2018,androidApp,2019-10-02
100010722,Wan D.,cape deh,sudah cape2 transfer tapi pesanan ditolak,negative,0.9988215565681458,1.0,20.51,17 Jan 2018,androidApp,2019-10-02
100010745,Anggun W.,lima bintang,barang ok kualitas bagus dengan harga yg cukup miring kualitas gambar juga ok pengiriman lumayan ga nyesel pokonya beli tv ini,positive,0.9966872334480286,5.0,30.75,25 Nov 2016,mobile-app,2019-10-02
100010745,Fathin,ke gresik bisa gak ya,saya minat tapi kalau dikirim ke gresik jawa timur bisa gak klo dr info pengiriman bebas tapi takut gk sampai dan tanya apa ini sdh full hd apa blm terima kasih,neutral,0.6573734879493713,5.0,21.84,,androidApp,2019-10-02
100010745,Eti A.,cilegon bisa nggak,pengn tivinya,negative,0.9635560512542723,4.0,13.0,,androidApp,2019-10-02
100010745,Lazada Guest,puasss,mantapppp barang nya,negative,0.9501408338546752,5.0,9.6,,mobile,2019-10-02
100010745,Lazada Guest,puassss,barang mulusss mantapppppp,positive,0.992512345314026,3.0,9.6,,mobile,2019-10-02
100015720,Fuady S.,spesifikasi utama terdapat intel core i5,laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat di judul dikatakan core i7,positive,0.5743091702461243,1.0,19.5,,mobile,2019-10-02
100015720,Ramadhana,bagus diterima dengan aman,barang sampai dengan aman kemampuan laptop sesuai dengan yang di iklankan hanya saja laptop datang dengan dos sehingga harus di install sendiri windows nya overall its worth the money,positive,0.9920384883880616,5.0,17.11,,mobile-app,2019-10-02
100015720,Jendra,bagus,barang sampai 2 hari dengan selamat dan sesuai deskripsi,positive,0.7919149994850159,5.0,12.95,,androidApp,2019-10-02
100015720,Ade P.,produk bagus,harga sangat murah mantep banget,positive,0.9958958625793456,5.0,12.94,,mobile-app,2019-10-02
100015720,Lazada Guest,entah benar atau enga,murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,negative,0.5744235515594482,3.0,11.17,,mobile-app,2019-10-02
100015720,Lazada Guest,barang udah sampai,barang udah sampai tapi pas dinyalain g bisa gmn pertanggung jawaban lazada,negative,0.9965883493423462,1.0,9.61,,desktop,2019-10-02
100024235,Lazada Guest,cicilan,klo dp1jt tanpa kartu kredit bisa gk brp bln pembayarannya dan sebulannya brp terimaksh,neutral,0.8358531594276428,4.0,14.56,,mobile-app,2019-10-02
100024235,Lazada Guest,,untuk pemasangan di tembok apa ad pihak dari lazada yg memasanga  terima kasih,neutral,0.9857885241508484,1.0,10.51,,mobile,2019-10-02
100027329,Yoga T.,sesuai dengan yang tertera,kapasitas hdd asli 1 tb dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya,positive,0.8844965696334839,5.0,23.3,02 Mei 2017,desktop,2019-10-02
100027329,Heri K.,mantap,barang sesuai dengan gambar,neutral,0.4515620172023773,5.0,20.21,20 Jun 2017,desktop,2019-10-02
100027329,Lazada Guest,respon penjualan yg baik,hd diterima dg packing bubble bagus hanya tidak tertulis barang elektronik atw keterangan lain agar penanganan lebih hati2 dan istimewa ketika paket dalam perjalanan finally 4bintang lhah,positive,0.9013389348983764,4.0,19.99,,mobile-app,2019-10-02
100027616,ACHMAD F.,top,mantap gan barang sampai dengan selamat  packing rapih  pokok mantap lah ,positive,0.998709797859192,5.0,20.51,24 Okt 2017,androidApp,2019-10-02
100027616,Bilqis,sip,oke,negative,0.9073383808135986,5.0,12.6,14 Jun 2017,mobile,2019-10-02
100028438,Dimas D.,kepuasan  ketidakpuasan,saya sangat puas dengan barangnya kualitas barang sangat membantu hdd saya apabila jatuh dari atas dan pengiriman rapi gk ada lecet kasih bintang 5  dan saya sangat tidak puas dengan peng,positive,0.853580117225647,5.0,27.0,25 Feb 2017,mobile-app,2019-10-02
100028438,Pembeli,bagus,barang diterima dengan kondisi yang baik tapi packagingnya kurang,negative,0.9966741800308228,4.0,20.51,19 Des 2017,iosApp,2019-10-02
100028438,KHAIRUNNISA.SYAN,sesuia dengan foto,suka banget sama barangnya packing nya rapi pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini,positive,0.9985464215278624,5.0,17.55,,mobile-app,2019-10-02
100030605,Antonio G.,,flashdisk ori packing bagus saya sukathx,positive,0.9905683398246764,5.0,32.49,15 Sep 2018,androidApp,2019-10-02
100034104,Lazada Customer,,aman cepat pula,positive,0.5166915655136108,5.0,51.13,05 Sep 2019,androidApp,2019-10-02
100034104,Lazada Customer,,bagus ori kok cuma hanya aja 58 gb klo 63 gpp hilang 1 gb,negative,0.9852104783058168,4.0,35.83,09 Sep 2019,androidApp,2019-10-02
100034104,Ririn S.,,kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,negative,0.5201610922813416,1.0,34.01,28 Apr 2019,androidApp,2019-10-02
100034104,Asrinur A.,,baguss bangett kurir nya jga ramah cakep pula wkwk ini 64gb tp cmn 58 sekian gb tp gpp lah yah pokok nya recomended deh,positive,0.9970036149024964,5.0,33.01,04 Mar 2019,androidApp,2019-10-02
100034104,ucen W.,,produk dah sampai kemasan rapih pengiriman cepat barang  bagus pembayaran cod tidak perlu diragukan lagi ,positive,0.9976859092712402,5.0,33.01,13 Mar 2019,androidApp,2019-10-02
100034104,ucen W.,,barangnya bagus banget sesuai dengan gambar dn deskripsi pengiriman cepat bagus dn recomended bangt,positive,0.998237371444702,5.0,33.01,28 Feb 2019,androidApp,2019-10-02
100034104,Andre A.,,packing tanpa bubble warp fisik no minus cuma 58 gb bukan 64 ya lumayan,positive,0.5580266118049622,5.0,31.51,07 Jul 2019,androidApp,2019-10-02
100034104,Hendrii R.,,barang ok  packing rapii  kurir nya ramahh  puass ,positive,0.9974421262741088,5.0,31.51,24 Jun 2019,androidApp,2019-10-02
100034104,muchamad R.,,produk original mantap semoga awet,positive,0.993560791015625,5.0,31.51,09 Jun 2019,androidApp,2019-10-02
100034104,Budi,,baik sesuai ekspektasi,positive,0.5928133130073547,5.0,30.36,04 Mar 2019,androidApp,2019-10-02
100034104,Lazada Customer,,barang nya oke makasih,positive,0.9128016829490662,5.0,27.08,13 Agu 2019,androidApp,2019-10-02
100034104,Ahmad K.,,tumben ninja cepat pengirimannya,positive,0.9603808522224426,5.0,27.08,12 Jul 2019,androidApp,2019-10-02
100034104,ganirogy,,barang asli dan original terimakasih maju terus toko jet store,positive,0.9731149673461914,5.0,26.51,12 Jul 2019,androidApp,2019-10-02
100034104,Fadhila U.,,flashdisk nya bagus sesuai picture barang cepat sampai kurir ramah,positive,0.9978585839271544,5.0,26.51,12 Mei 2019,mobile,2019-10-02
100034104,ferry P.,,oke mudah2an awet dan ga crash belum sempet d coba,positive,0.8897923231124878,5.0,26.51,09 Jul 2019,desktop,2019-10-02
100034104,wisnu D.,,kapasitas cuma 58 gb ajaaaaa  huft,negative,0.914297103881836,5.0,26.51,04 Jul 2019,androidApp,2019-10-02
100034104,Lazada Customer,,katanya 64 gb nyatanya cuman 58 gb,negative,0.9456982016563416,4.0,26.51,10 Jun 2019,androidApp,2019-10-02
100034104,Irine S.,,thks ya barang sdh sampaismga cocok,negative,0.8973336815834045,5.0,26.51,09 Jun 2019,androidApp,2019-10-02
100034104,Winarso Y.,,siipppthank lazada,neutral,0.9813546538352966,5.0,26.51,02 Mar 2019,androidApp,2019-10-02
100034104,Irman A.,,udah di trima barang ok moga awet,positive,0.8636157512664795,5.0,26.51,18 Mei 2019,androidApp,2019-10-02
100034104,Indra S.,,josss tenan,positive,0.8955476880073547,5.0,26.51,09 Mei 2019,androidApp,2019-10-02
100034104,Recvy,,ini ori bagus tahan lama masih saya pake,positive,0.992514193058014,5.0,25.51,29 Mar 2019,androidApp,2019-10-02
100034104,Sucipto B.,,kampret kaga kebaca,negative,0.9979904890060424,1.0,25.5,27 Mar 2019,androidApp,2019-10-02
100034104,Lazada Customer,good,barang bagus quick respon hari ini pesan besok sudah sampai,positive,0.9433936476707458,5.0,23.03,03 Jul 2018,desktop,2019-10-02
100034104,Tarmudi,,brang cukup bagus,positive,0.9964882135391236,5.0,20.51,03 Apr 2017,androidApp,2019-10-02
100034104,Lazada Customer,,sip mantap,positive,0.9984664916992188,5.0,19.58,29 Jul 2019,androidApp,2019-10-02
100034104,Pupung A.,,bagus ori,positive,0.5126643776893616,5.0,19.01,07 Jun 2019,androidApp,2019-10-02
100034104,Aobhie H.,,real good,negative,0.5896408557891846,5.0,19.01,26 Mar 2019,androidApp,2019-10-02
100034104,Ketut W.,,bagus,positive,0.7057397961616516,5.0,18.01,11 Apr 2019,androidApp,2019-10-02
100034104,abdul M.,,good,positive,0.7422585487365723,5.0,18.01,27 Mar 2019,androidApp,2019-10-02
100036366,Lazada Customer,,pengiriman sangat lama tgl 19 di pesan tgl 22 barang baru dikemas tgl 23 baru diambil ekspedisi tgl 25 baru sampai masih dijabotabek tapi lama,negative,0.9981136322021484,2.0,34.58,19 Jul 2019,desktop,2019-10-02
100036366,hadiyanto,barang pecah dikirim payah ni seller,barang tanpa kemasan tanpa pelindung apapun hanya dus tv saja liat dusnya sobek dikit sudah mulai curiga kayaknya pecah ini eeeeellllaaaa pas dibuka pecah beneran bad seller bener bener bad seller mau untung aja tanpa peduli keadaan produk  kalo gak ada untung n pelit pakingan ya jgn jualan barang sudah retur  mudah mudahan barangnya cepat di kirim lg d,negative,0.9983468055725098,1.0,33.55,27 Mar 2018,desktop,2019-10-02
100036366,Fajar H.,brng utuh diterima,barang diterima pada hari akhir yg dijadwalkan yaitu malam hari kondisi barang terlindungi dengan packing bawaan unit  kualitas unit adalah kualitas sharp semoga awet bila unit ini dikirim dari gudang lazada di bogor mestinya bisa lebih cpt tiba bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di bogor,positive,0.9850837588310242,4.0,33.39,27 Mar 2018,androidApp,2019-10-02
100036366,aryanto,sesuai pesanan,masukan saja klo bisa packingnya jangan asal dikasih buble wrap minimal ini cuma dipacking pakai plastik biasa sempet khawatir pecah tpi untung gk terjadi  ,neutral,0.7131803035736084,4.0,29.99,15 Jul 2018,androidApp,2019-10-02
100036366,Abdul A.,,pesanan sesuai dgn yg di gambar skrg sy lg coba smoga awet,positive,0.9383496046066284,4.0,24.84,01 Mar 2018,androidApp,2019-10-02
100036366,Edi S.,pengiriman,pengiriman tidak sesuai tanggal yang tertera,negative,0.9922674298286438,2.0,24.38,01 Apr 2017,desktop,2019-10-02
100036366,Lazada Customer,,sesuai no tipu2,negative,0.9846073985099792,5.0,24.01,24 Mar 2018,androidApp,2019-10-02
100036366,Pohin,,barang ok packing rapih,neutral,0.4947479665279388,5.0,22.49,24 Agu 2018,androidApp,2019-10-02
100036366,Nilam R.,,barangnya sampai dengan cepat bagus terimakasih lazada,positive,0.9955073595046996,5.0,22.49,30 Agu 2018,androidApp,2019-10-02
100036366,Pohin,tv murah,pengiriman cepat packirng rapih harga murah free ongkir,positive,0.988166093826294,5.0,22.49,15 Jul 2018,androidApp,2019-10-02
100036366,ming F.,mantapp,mantapp barang nya sesuai pesanan,positive,0.4092249572277069,5.0,22.49,09 Jul 2018,androidApp,2019-10-02
100036366,kiky p.,parah,jangan pernah beli disiniparah bangetbarang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll,negative,0.99881112575531,1.0,22.35,,mobile-app,2019-10-02
100036366,Muhammad A.,pengiriman lama pisan  katanya dr kurir pengirimannya ga pake exspres,hati hati ini tv ga bisa pake usb,negative,0.9893642663955688,1.0,21.51,19 Mar 2018,androidApp,2019-10-02
100036366,Lukas P.,,puas,negative,0.5248976945877075,5.0,16.01,19 Nov 2018,androidApp,2019-10-02
100036366,Akasia P.,,puas,negative,0.5248976945877075,5.0,16.01,19 Nov 2018,androidApp,2019-10-02
100036366,ming F.,,mantap,positive,0.9755426049232484,5.0,14.99,31 Agu 2018,androidApp,2019-10-02
100036366,Lazada Guest,yuda,sangat puas dengan produknya terimakasih,positive,0.9970079064369202,3.0,13.88,,mobile,2019-10-02
100038665,Fitriyansyah,pelayanan,memuaskan produk sesuai deskripsi packing bagus dan penerimaan produk cepat untuk saya yg berada di jkt,positive,0.9974365830421448,5.0,27.0,20 Des 2016,mobile-app,2019-10-02
100038665,Sahrul A.,kurang puas,kenapa chargernya tidak lengkap g bisa langsung dipakai buat charger kita harus nyari dan beli lagi sambungan buat chargernya tolong d bantu,negative,0.8130506873130798,3.0,27.0,22 Nov 2016,mobile-app,2019-10-02
100038665,Dani,laptop lenovo,ini spek ramnya 2gb atau 4gb,neutral,0.8534776568412781,1.0,9.48,,mobile-app,2019-10-02
100042741,Rayndra A.,flashdisk bekas wkwkwk  d,gan saya sarankan untuk lebih berhatihati dalam membeli flashdisk yang dikirim ke saya adalah flashdisk rekondisi daur ulang bekas  jangan tertipu oleh harga mas dosa mas bohong di flashdisknya ada tulisan nama aryo yang sengaja dihapus tp kurang bersih file yang dikirim ke flashdisk juga error makan duit haram mas kenyang tp ga berkah,negative,0.9972948431968688,1.0,27.66,04 Jul 2017,desktop,2019-10-02
100042741,Satya P.,sering corrupt,barang cepat sampainya kualitas fd kurang bagus file yang di copy sering corrupt,negative,0.9980443716049194,2.0,19.97,16 Mei 2017,desktop,2019-10-02
100042741,Hendri,,palsu,negative,0.5470890402793884,1.0,15.8,16 Jun 2017,androidApp,2019-10-02
100042741,DHEA P.,very nice,very good,neutral,0.6469552516937256,5.0,12.37,15 Apr 2017,mobile,2019-10-02
100042741,Tjan H.,barang kw,korup terus klo di copy ke fdmengecewakan,negative,0.9990113973617554,1.0,10.08,,mobile-app,2019-10-02
100052565,Pieter C.,top bgt,hardisknya keren pelindungnya kokoh  udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada,positive,0.9981333613395692,5.0,28.01,30 Okt 2017,androidApp,2019-10-02
100052565,zara,barang sudah mendarat dengan selamat,sampainya agak lama tapi puas packing rapi dan pas dateng warnanya biru seneng banget gan hehe top deh semoga awet barangnya,positive,0.998512089252472,4.0,28.01,02 Okt 2017,mobile-app,2019-10-02
100052565,Maesaroh,bagus,trims lazada  reseller  barang sdh saya terima senin siang penigiriman sesuai dengan yg di informasikan,neutral,0.8379974961280823,5.0,27.0,09 Mar 2017,desktop,2019-10-02
100052565,Uli,bagus,sesuai spek yg saya mau jd oke lah,positive,0.8580806255340576,5.0,22.49,12 Des 2017,androidApp,2019-10-02
100052565,bahari,rekomended,barangnya bagus  rapi tidak mengecewakan  akan tetapi bagus kalau ada bonus pouch nya  hehhe,positive,0.9976508021354676,5.0,22.32,23 Mar 2017,mobile-app,2019-10-02
100052565,Temon,,barang udah sampe gunn masih segell dari pabriknya mangstabb,positive,0.5050614476203918,5.0,20.51,11 Jan 2018,desktop,2019-10-02
100052565,Yaya S.,,barang tlah diterima kondisi baik,positive,0.7902470231056213,5.0,20.51,11 Jan 2018,androidApp,2019-10-02
100052565,Mbah K.,,mantap,positive,0.9755426049232484,5.0,14.99,31 Agu 2018,androidApp,2019-10-02
100055947,Nicho P.,,barang sesuai deskripsipenjual ramahrespon cepat,positive,0.9767707586288452,5.0,33.01,31 Mar 2019,androidApp,2019-10-02
100055947,Muhammad R.,,packaging rapi flashdiksnya ori kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai  barangnya datang sesuai tepat waktu makasih ya ,positive,0.9962576627731324,5.0,31.01,30 Okt 2018,androidApp,2019-10-02
100055947,Johann S.,mantap,flashdisknya sudah diterima dengan baik kapasitas total 58544586752 bytes dengan fat32 menjadi 62885724160 bytes kalau diformat dengan exfat write speed 10mbs dan read 30 mbs dengan port usb 20 belum dicoba dengan port usb 30,negative,0.4574568569660187,5.0,30.13,24 Jun 2017,desktop,2019-10-02
100055947,Dian A.,,terima kasih barang bagus dan respon penjual sgt baik,positive,0.9969967603683472,5.0,22.49,07 Sep 2018,androidApp,2019-10-02
100055947,Elisa P.,oke,barang sudah diterima dgn baik packing rapih tp isinya cuma 58gb selebihnya oke,negative,0.9643153548240662,5.0,21.24,23 Des 2016,mobile-app,2019-10-02
100055947,Michael O.,recommended,pas cocok buat anda semua bgus sesuai deskripsi,positive,0.8736998438835144,5.0,20.51,08 Mar 2017,androidApp,2019-10-02
100055947,Novi A.,,puas,negative,0.5248976945877075,5.0,16.01,19 Nov 2018,androidApp,2019-10-02
100055947,Yanti,ok banget,flashdisk 64gb casing metal baguss,positive,0.9903867840766908,5.0,9.91,,desktop,2019-10-02
100061038,rizki E.,,sesuai deskripsi,neutral,0.8482258319854736,5.0,26.65,15 Jul 2019,desktop,2019-10-02
100061038,fauzi A.,,barang dah sampai makasih,positive,0.7587074637413025,5.0,24.99,21 Agu 2018,desktop,2019-10-02
100061038,Lazada Customer,,mantap barang gak minus sama sekali,positive,0.7392004728317261,5.0,24.51,12 Des 2018,androidApp,2019-10-02
100061038,Febian M.,,pengiriman cepat packing cukup bagus,positive,0.9970676302909852,5.0,23.51,11 Nov 2018,androidApp,2019-10-02
100061038,Dirawan,,biarkan bintang yang berbicara  ,negative,0.5680873394012451,5.0,23.51,11 Nov 2018,androidApp,2019-10-02
100061038,Erwin J.,,barangnya ok cepat sampai,positive,0.9804840683937072,5.0,23.51,12 Sep 2018,mobile,2019-10-02
100061038,Lazada Customer,,pengirimannya cepat produk baik,positive,0.9946597218513488,5.0,23.51,01 Okt 2018,androidApp,2019-10-02
100061038,Chandra K.,,barang  sesuai dengan deskripsi dan berfungsi baik,positive,0.8740854859352112,5.0,23.51,26 Sep 2018,androidApp,2019-10-02
100061038,Lazada Customer,,sampai cepat barang sesuai,positive,0.7475813031196594,5.0,22.49,04 Sep 2018,androidApp,2019-10-02
100061038,dwi S.,express,dikirim hari berikutnya dan barang mulus,negative,0.91575688123703,4.0,21.5,05 Mar 2018,androidApp,2019-10-02
100061038,herry P.,,oke,negative,0.9073383808135986,5.0,12.6,14 Jun 2017,mobile,2019-10-02
100061038,Lazada Customer,,baik,positive,0.92683207988739,4.0,14.99,07 Sep 2018,androidApp,2019-10-02
100072071,Alwan P.,ram,ram 8gb atau 4gb,neutral,0.846564769744873,2.0,9.92,,desktop,2019-10-02
100086255,Kurniawan,tv led dengan beragam input,tv led dengan pilihan input yang lengkap hdmi dv vga kami beli untuk keperluan kantor yang penggunaannya bisa multisource panasonic satusatunya merk yang menyediakan fasilitas ini sepanjang pengetahuan kami kualitas gambar juga bagus dengan bezel tipis yang memberikan kesan lega  extra bracket memudahkan pemasangan di dinding bravo panasonic,positive,0.9733640551567078,5.0,32.62,20 Okt 2017,desktop,2019-10-02
100086255,hanif s.,mantap,cuma butuh waktu 12 jam unit tiba thks,negative,0.6449337601661682,5.0,19.5,22 Jan 2017,mobile-app,2019-10-02
100086255,Rosana U.,kalo mau cicilan gmn caranya,mau cicilan gmn caranya6,neutral,0.5401836037635803,1.0,15.05,,mobile-app,2019-10-02
100086255,Lazada Guest,mau nyicil dong proses nya susah nggak,nyicil dengan cara mudah prosesnya susah nggak,negative,0.426972359418869,3.0,14.56,,mobile-app,2019-10-02
100086255,Lazada Guest,barang mantap sesuai pesanan,pokonya puas,positive,0.997249186038971,5.0,9.91,,mobile-app,2019-10-02
100087269,Muhammad R.,puas bgt _,puas bgt pengiriman sesuai jadwal barang bagus packing rapih buat maen game enak bgt hihii murah lagi tenkyu lazada,positive,0.998878300189972,5.0,27.51,08 Des 2016,mobile,2019-10-02
100087269,Gani R.,saran,saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,positive,0.8820116519927979,3.0,17.0,,mobile-app,2019-10-02
100094942,Lazada Customer,,saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak adahanya keterangan saja di dusnya bahwa barang ini original resmi indonesia bergaransi dengan diberi nomor telpon service centernya memory yang tersedia ternyata juga tidak sampai 2 tb tetapi 181 tb  selisih 019 tb besar banget selisihnyatidak mungkin juga terpakai untuk sistemnya sampai begitu banyaktapi tidak begitu masalah  eksternal hardisk ini bekerja bagus cepat dan  hadiah hardcase cukup bagus  untuk melindungi barang  ini dari debu dan benturan sayangnya saat di registrasi ke official webnya wd ternyata identification numbernya tidak dikenaltidak validalias barang ini bukan aslialias kw seller responsif sayangnya tidak memberitahu asli tidaknya barang ini pengiriman terhitung cepatdalam 2 hari barang sudah di tangan mudah2an saja barang ini awet wslaupun tdk original,negative,0.977172076702118,3.0,67.5,25 Sep 2019,androidApp,2019-10-02
100094942,Lazada Customer,,barang bagus peking rapih gua rekomendasikan banget lah klo barangnyacma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti mending buat pengiriman lain deh lbi bgus,positive,0.9708818197250366,3.0,41.18,10 Des 2018,androidApp,2019-10-02
100094942,Dovicky A.,,mantab speed konsisten total size asli 181gb pas sejauh ini masih normal digunakan nice job seller n lazada ,neutral,0.9010142683982848,5.0,36.01,11 Nov 2018,androidApp,2019-10-02
100094942,Ruli W.,,barang belum terimapihak lazada bilang sidah diterima cek di jne lhoksukon aceh utara barang tidak adaada masalah petigasnya tdk ramah dan tdk ada solusk mana yg benar email ke cs jne sama cs lazada tdk ada reapon bagaimana nasih barang saya harga 1 jt an,negative,0.9943842887878418,1.0,33.51,11 Nov 2018,androidApp,2019-10-02
100094942,Keong I.,,smuanya mntap,negative,0.6465303301811218,5.0,31.5,18 Mei 2019,mobile,2019-10-02
100094942,Yuli S.,,pengiriman cepat hr ini kirin lusa udh terima packing rapi pake bubble jg kwalitas product oke tq,positive,0.9956653714179992,5.0,31.01,11 Nov 2018,androidApp,2019-10-02
100094942,denys T.,,saya rekomendasikan beli disini,positive,0.9241451621055604,5.0,26.01,11 Nov 2018,desktop,2019-10-02
100094942,Rusli C.,,sudah sampaiii,negative,0.9107258915901184,5.0,24.99,09 Sep 2018,androidApp,2019-10-02
100094942,Lazada Customer,,warna sesuai pesanan spek persis ok dah,neutral,0.904257833957672,5.0,24.51,10 Des 2018,desktop,2019-10-02
100094942,faesal K.,,thanks respon cepat hdd ext 2tb sampai sesuai pesanan,positive,0.9770086407661438,4.0,24.51,12 Des 2018,androidApp,2019-10-02
100094942,Rahmat M.,,original packing rapi,neutral,0.6415475606918335,5.0,23.51,10 Okt 2018,desktop,2019-10-02
100094942,tetty N.,,barang good condition and delivery ok,neutral,0.8297122120857239,5.0,23.51,16 Sep 2018,androidApp,2019-10-02
100094942,Lazada Customer,,mantap,positive,0.9755426049232484,5.0,14.99,31 Agu 2018,androidApp,2019-10-02
100094942,Albert A.,,barang oke,negative,0.4308749139308929,5.0,17.01,19 Okt 2018,androidApp,2019-10-02
100110786,Vian B.,,foto produk sesuai dengan asli warna birunya bagus saya pesan dan bayar produk ini pada tanggal 21 oktober 2018 dan produk ini datang pada tanggal 23 oktober 2018 dalam kondisi baik dan berfungsi untuk macbook pro saya meskipun saya harus format dahulu saya mendapat bonus poket untuk external hdd saya ini mudahmudahan produk ini awet terima kasih lazada,positive,0.9889574646949768,4.0,36.01,22 Okt 2018,iosApp,2019-10-02
100110786,Lazada Customer,,packing rapi dan pengiriman tepat waktu sejauh ini berfungsi dengan baik harapannya semoga awet ni barang,positive,0.9957977533340454,5.0,33.01,19 Mar 2019,androidApp,2019-10-02
100110786,Deni A.,,barangnya bagus kecilcompaq dan packing baik,positive,0.996980369091034,5.0,23.51,03 Okt 2018,iosApp,2019-10-02
100110786,Thomas D.,western digital wd my passport new design 4tb,good product with reasonable price,positive,0.980276107788086,5.0,21.51,28 Feb 2018,androidApp,2019-10-02
100125285,Indra P.,good lah,packing rapi kualitas oke fitur2 persis seperti deskripsi desain keren cuma yg kurang puas di segi kecepatan transfer hanya mentok di 910 mbs,positive,0.8044044375419617,5.0,30.41,16 Des 2016,desktop,2019-10-02
